"nrricode","year","forest","count","count1","count2","count3","samples","ave","abbrev"
488,2009,"9090",66,39,11,16,553,0.119349005424955,"AMCR"
488,2009,"9030",163,81,37,45,390,0.417948717948718,"AMCR"
488,1997,"9020",112,68,20,24,390,0.287179487179487,"AMCR"
488,2001,"9020",196,106,40,50,389,0.503856041131105,"AMCR"
488,2006,"9020",107,62,11,34,388,0.275773195876289,"AMCR"
488,2002,"9090",69,38,17,14,489,0.141104294478528,"AMCR"
488,2007,"9090",37,18,4,15,487,0.0759753593429158,"AMCR"
488,1999,"9030",136,86,26,24,396,0.343434343434343,"AMCR"
488,2004,"9030",211,111,33,67,395,0.534177215189873,"AMCR"
495,2003,"9030",27,18,4,5,393,0.0687022900763359,"BHCO"
495,1996,"9090",3,1,1,1,482,0.00622406639004149,"BHCO"
495,1997,"9030",21,12,2,7,393,0.0534351145038168,"BHCO"
495,2000,"9020",54,28,9,17,375,0.144,"BHCO"
495,1996,"9030",30,13,3,14,391,0.0767263427109974,"BHCO"
495,2004,"9020",25,10,2,13,381,0.0656167979002625,"BHCO"
495,1998,"9020",63,30,9,24,387,0.162790697674419,"BHCO"
495,2010,"9020",24,9,5,10,361,0.0664819944598338,"BHCO"
495,1995,"9020",33,18,5,10,385,0.0857142857142857,"BHCO"
495,2000,"9030",20,8,4,8,393,0.0508905852417303,"BHCO"
495,1998,"9030",29,8,4,17,383,0.0757180156657963,"BHCO"
495,2001,"9090",1,1,0,0,491,0.00203665987780041,"BHCO"
495,1995,"9090",3,1,1,1,488,0.00614754098360656,"BHCO"
495,2010,"9090",1,1,0,0,535,0.00186915887850467,"BHCO"
495,1997,"9020",31,15,6,10,390,0.0794871794871795,"BHCO"
495,2011,"9030",6,5,0,1,383,0.0156657963446475,"BHCO"
495,2005,"9090",0,0,0,0,0,0,"BHCO"
495,2005,"9020",40,21,8,11,383,0.10443864229765,"BHCO"
495,1999,"9020",49,21,10,18,385,0.127272727272727,"BHCO"
495,2003,"9090",4,2,0,2,491,0.00814663951120163,"BHCO"
495,2001,"9030",22,10,7,5,390,0.0564102564102564,"BHCO"
495,2003,"9020",37,18,7,12,387,0.0956072351421189,"BHCO"
495,2006,"9090",0,0,0,0,0,0,"BHCO"
495,2000,"9090",1,0,1,0,484,0.00206611570247934,"BHCO"
495,2002,"9020",48,31,7,10,390,0.123076923076923,"BHCO"
495,2002,"9030",10,2,2,6,393,0.0254452926208651,"BHCO"
495,2010,"9030",7,5,1,1,350,0.02,"BHCO"
495,2001,"9020",27,13,7,7,389,0.0694087403598972,"BHCO"
495,2008,"9020",45,18,7,20,380,0.118421052631579,"BHCO"
495,1999,"9090",7,4,3,0,487,0.0143737166324435,"BHCO"
495,2004,"9090",1,0,1,0,470,0.00212765957446809,"BHCO"
